trial,has_wave,has_rotation,final_energy,max_amplitude
250,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.028249839320778847,0.2884303033351898
251,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03600316494703293,0.2605300843715668
252,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.024374086409807205,0.2052244246006012
253,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.033026717603206635,0.29210755228996277
254,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04230773448944092,0.21205270290374756
255,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.024681750684976578,0.30603116750717163
256,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.0371929369866848,0.2297586053609848
257,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04487527161836624,0.2634798288345337
258,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03409874066710472,0.24724645912647247
259,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03366000950336456,0.1884472370147705
260,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04956163838505745,0.2298002690076828
261,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.051439203321933746,0.22029034793376923
262,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.037756964564323425,0.22127823531627655
263,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.05632751062512398,0.2397281974554062
264,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03805667906999588,0.25494706630706787
265,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.039925266057252884,0.27258798480033875
266,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.0422273650765419,0.24820151925086975
267,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.02726989984512329,0.3043687343597412
268,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03745144605636597,0.2359391748905182
269,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.04256182536482811,0.25003260374069214
270,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.032792262732982635,0.23357896506786346
271,"tensor(True, device='cuda:0')","tensor(True, device='cuda:0')",0.03598564863204956,0.2894945740699768
