perturbation_strength,rotation_angle,recovery_pct,normalized_recovery,rotation_quality,circularity,final_distance,initial_distance
0.043750000000000004,180.0,0.0,0.4815962750459305,0.7437624492336667,0.0,0.5868473172592671,1.1320275858574544
0.043750000000000004,180.0,0.0,0.5650034400903108,0.7645731737668542,0.0,0.47932666606833,1.1019090959428375
0.043750000000000004,0.0,0.0,0.5714757722755255,0.7046668322513683,0.0,0.4675802109739676,1.0911406653875464
0.05500000000000001,0.0,0.0,0.5245377489074112,0.7488080526667749,0.0,0.5139042840021923,1.080851913735035
0.05500000000000001,0.0,0.0,0.5861200764371134,0.7667880524885009,0.0,0.4768096077013963,1.1520481679729218
0.05500000000000001,0.0,0.0,0.5850168151339941,0.7444854933780429,0.0,0.4926923521609398,1.1872585929476287
0.05500000000000001,180.0,0.0,0.5532161219917868,0.7657486262260408,0.0,0.5328331083060744,1.1925969904766336
0.05500000000000001,0.0,0.0,0.5049236228661853,0.7508089618549936,0.0,0.4876489790058035,0.984997470145897
0.05500000000000001,0.0,0.0,0.6297149102434425,0.7565384349891137,0.0,0.4450037106070859,1.2017867392382768
0.05500000000000001,0.0,0.0,0.5580858964240776,0.7464920135328241,0.0,0.45512330982762783,1.0298908908876587
0.05500000000000001,180.0,0.0,0.6285469515274851,0.6958980395888203,0.0,0.48891463120035633,1.3162218837908737
0.05500000000000001,0.0,0.0,0.5614221062833828,0.7477694485448606,0.0,0.5064687583687081,1.1547977351908163
0.05500000000000001,180.0,0.0,0.6246593704264312,0.7266787931306175,0.0,0.47699309591306677,1.2708272388603044
0.05500000000000001,180.0,0.0,0.558706687222406,0.7424909604842111,0.0,0.5281580092804775,1.196841180203114
0.05500000000000001,180.0,0.0,0.6259415132210393,0.7554024394221053,0.0,0.4222391999804972,1.1288052935689907
0.05500000000000001,0.0,0.0,0.5682604608511583,0.757514644630543,0.0,0.5088575508538055,1.1786216102815115
0.05500000000000001,0.0,0.0,0.6272638714303842,0.759104577976857,0.0,0.46424037613543384,1.2454933679677576
0.05500000000000001,180.0,0.0,0.6522655664817932,0.799389099809397,0.0,0.42922545744488466,1.2343484454564695
0.05500000000000001,180.0,0.0,0.5759828150761936,0.7047308650189025,0.0,0.46212391115170237,1.0898707118079272
0.05500000000000001,180.0,0.0,0.600739959841241,0.7165655892337925,0.0,0.4860526882670084,1.2173837583990068
0.05500000000000001,180.0,0.0,0.6320397823464693,0.7549023557755778,0.0,0.42207601658118904,1.1470697002864951
0.05500000000000001,180.0,0.0,0.6264216295935415,0.7251331270826145,0.0,0.45093713084145953,1.2070750518849198
0.05500000000000001,180.0,0.0,0.6346345336943133,0.7769627025800528,0.0,0.4822715041389068,1.3199701356980724
0.06625,180.0,0.0,0.6261934202613109,0.6994342863653148,0.0,0.43374100400440596,1.1603353913877443
0.06625,0.0,0.0,0.6294548718020239,0.7234838514537538,0.0,0.4646931416515693,1.2540797497769054
0.06625,180.0,0.0,0.5858883399710755,0.7197685449265916,0.0,0.4586119148990444,1.107459555393856
0.06625,180.0,0.0,0.6703646610525152,0.7575376975099037,0.0,0.44497107158267574,1.3498888590144928
0.06625,0.0,0.0,0.6581057400786079,0.7373603402326049,0.0,0.40993022406970364,1.1989970939083747
0.06625,0.0,0.0,0.6544157366602428,0.741286973821853,0.0,0.3990708938727613,1.1547716033597841
0.06625,180.0,0.0,0.6207279566947274,0.7072825165834393,0.0,0.5217883202664944,1.3757626734605157
0.06625,0.0,0.0,0.6229562363328138,0.764235693271749,0.0,0.47673704604545397,1.264407721291119
0.06625,180.0,0.0,0.6840859944731158,0.7162603068605875,0.0,0.4060893724231694,1.2854427639125714
0.06625,180.0,0.0,0.6094787972249261,0.7716472417654172,0.0,0.49146209772645066,1.2584773739148682
0.06625,180.0,0.0,0.5799514396688785,0.7620793789384012,0.0,0.5197824433412628,1.2374341741143495
0.06625,180.0,0.0,0.6632678315917403,0.7623409007344364,0.0,0.43237451029419366,1.2840309030706432
0.06625,0.0,0.0,0.6428645039088783,0.7547220222010849,0.0,0.4873113580086579,1.3644999260569786
0.06625,180.0,0.0,0.6602717839329241,0.7760201829612843,0.0,0.3916502759418764,1.1528341109722515
0.06625,0.0,0.0,0.5967164008765632,0.7310577817273997,0.0,0.4895223663855263,1.2138414938012236
0.06625,0.0,0.0,0.607044124211598,0.7737912471209735,0.0,0.47572227909748804,1.2106251831532706
0.06625,180.0,0.0,0.5728567423264744,0.7926958561118502,0.0,0.46922965633661606,1.098529937923679
0.06625,180.0,0.0,0.5764572306666209,0.770055979616952,0.0,0.489585011155325,1.1559281531966439
0.06625,180.0,0.0,0.6538865657542304,0.7686811072125512,0.0,0.47721206089033835,1.3787735859783983
0.06625,0.0,0.0,0.6052235799846758,0.7751349704354319,0.0,0.4925695066499404,1.247717648969055
0.0775,180.0,0.0,0.6530471198882118,0.7405908127432765,0.0,0.47218851468477707,1.3609586250808412
0.0775,0.0,0.0,0.6608402540425765,0.751682231280371,0.0,0.45460541279955374,1.3403872901137945
0.0775,180.0,0.0,0.6702358231387193,0.7107609832695853,0.0,0.41884985662072155,1.270149658484329
0.0775,0.0,0.0,0.6497941797485834,0.7661064809529962,0.0,0.46294756336252507,1.321929952592364
0.0775,0.0,0.0,0.5900771062365163,0.7063163825025303,0.0,0.5004109334667975,1.2207440498688602
0.0775,180.0,0.0,0.6344323866005251,0.7354641705934251,0.0,0.4802862089398347,1.3138095152181901
0.0775,0.0,0.0,0.6741867868614058,0.7534758674958981,0.0,0.44375963651309186,1.3620062619262945
0.0775,180.0,0.0,0.6402279992045443,0.7518228108240974,0.0,0.4356914680662784,1.2110210552876957
0.0775,0.0,0.0,0.6401074822591937,0.7448296738226791,0.0,0.4778908087113034,1.327870920215905
0.0775,0.0,0.0,0.6659908129107885,0.7419600198572612,0.0,0.48418669218345983,1.449620881398502
0.0775,0.0,0.0,0.5950882974170018,0.7049059740141865,0.0,0.4882479148348696,1.2058132963810528
0.0775,180.0,0.0,0.6372187266763761,0.7201107494302037,0.0,0.45614044747980825,1.2573428702669065
0.0775,180.0,0.0,0.6292438703734299,0.7473723023346501,0.0,0.47901465383790887,1.2919938891377953
0.0775,0.0,0.0,0.6195701900669528,0.7708741199060779,0.0,0.4992729713001996,1.3123918217346529
0.0775,0.0,0.0,0.6122472389066826,0.7000748951519093,0.0,0.4606443192031855,1.187984626864658
0.0775,180.0,0.0,0.6128958406206654,0.7080940471967629,0.0,0.5017939108721522,1.2962762055481554
0.0775,180.0,0.0,0.5985642365555277,0.726090624357058,0.0,0.5115592871553152,1.274324147818672
0.0775,0.0,0.0,0.648662536909506,0.7630554100224991,0.0,0.41634731856096346,1.1850353642865714
0.0775,180.0,0.0,0.6257212167659552,0.7436793953225858,0.0,0.4989041273031991,1.3329746425707045
0.0775,0.0,0.0,0.6325822621069903,0.7708670164207465,0.0,0.4981606789811076,1.3558427577227359
0.08875000000000001,180.0,0.0,0.6311446520141963,0.7359038000500191,0.0,0.49640154624720384,1.345789206955755
0.08875000000000001,180.0,0.0,0.6578615163654341,0.7333795255972484,0.0,0.4709365681801966,1.37645015309999
