network_size,actual_nodes,connectivity,trial,wave_type,has_wave_comprehensive,wave_speed_comprehensive,has_wave_simple,wave_speed_simple,mean_rotation_angle,mean_rotation_velocity,rotation_quality,circularity,wave_rotation_correspondence
300,16,4,28,0,False,26.719318577338548,True,17.042231818219378,180.0,13.8,0.44942616285290415,0.0,0.10512312589173871
300,16,4,29,1,False,26.22399961022942,True,42.716502341887335,180.0,18.0,0.4711835398145605,0.0,0.4070804705230049
300,16,4,30,2,False,15.191608168293753,True,16.63520786276435,0.0,11.4,0.46603160353532513,0.0,0.18673690198312906
300,16,4,31,3,False,18.90360653757117,True,36.94592311195667,0.0,18.6,0.5093362682989446,0.0,0.3302838819501866
300,16,4,32,0,False,33.269923865317026,True,30.227103718427863,180.0,15.0,0.4613962809441404,0.0,0.3366809383416229
300,16,4,33,1,False,30.96232446196951,True,44.94218176572443,180.0,10.8,0.4872345311509265,0.0,0.6125017120635387
300,16,4,34,2,False,7.4091189223895615,True,27.17090760695305,180.0,3.0,0.42870495272917974,0.0,0.8011329298327976
300,16,4,35,3,False,25.43716324984353,True,48.4205610597733,0.0,21.6,0.4685463804624205,0.0,0.38303836264378865
300,16,4,36,0,False,22.92480553052256,True,31.439009390390826,180.0,18.0,0.4439139251505272,0.0,0.2718300701424593
300,16,4,37,1,False,20.053495664848313,True,46.19864807786281,180.0,17.4,0.4805210753453366,0.0,0.45281855744102933
300,16,4,38,2,False,14.957373239288126,True,26.333597960654153,180.0,19.8,0.4734771308993466,0.0,0.14162342087890656
300,16,4,39,3,False,18.802926545415765,True,15.100809267456981,0.0,14.4,0.4428010271565176,0.0,0.023755594672031043
300,16,4,40,0,False,25.17308218927603,True,43.14204037014568,180.0,13.8,0.4467191528174975,0.0,0.5152966100153654
300,16,4,41,1,False,30.709954152819122,True,24.777492453171348,0.0,19.2,0.4849522381428081,0.0,0.12682606810967587
300,16,4,42,2,False,9.352642297038509,True,23.634756808656785,180.0,19.2,0.49202354132039483,0.0,0.10353173775344467
300,16,4,43,3,False,15.262864710749685,True,8.332269398145964,180.0,14.1,0.4568550315533554,0.0,0.25711757020469045
300,16,4,44,0,False,28.412660922851362,True,25.915531033136034,0.0,22.8,0.4906107177539588,0.0,0.06395354760703463
300,16,4,45,1,False,29.79766777720793,True,36.767090086129386,0.0,1.2,0.4767848072036647,0.0,0.9367873599306868
300,16,4,46,2,False,15.443750471716381,True,57.67477633749033,0.0,15.0,0.47896819540258917,0.0,0.5872020319575062
300,16,4,47,3,False,12.833159321311326,True,11.362295193845576,180.0,17.4,0.4552372856781296,0.0,0.20991735066488548
300,16,4,48,0,False,21.604896375110094,True,13.33654576962028,180.0,17.4,0.5162128791640684,0.0,0.13220269645207758
300,16,4,49,1,False,43.608262744711496,True,58.90767833773951,0.0,10.8,0.5028993675235494,0.0,0.6901345660170288
300,289,8,0,0,False,43.30925218416576,True,55.532977127567285,180.0,4.2,0.7639917054943312,0.0,0.8593741614092549
300,289,8,1,1,False,37.712807478526884,True,41.766687619287936,0.0,21.0,0.748630382097614,0.0,0.3308552419591652
300,289,8,2,2,False,9.580949121432724,True,7.210509820741512,180.0,8.4,0.7277454126874989,0.0,0.07619803535630885
300,289,8,3,3,False,23.813742682172304,True,72.91678414789855,0.0,12.0,0.7546788048261341,0.0,0.717370361573382
300,289,8,4,0,False,33.87287034913663,True,51.757780717683374,180.0,14.4,0.7403924712358879,0.0,0.5646770540421334
300,289,8,5,1,False,60.69095143363643,True,99.8176060321588,180.0,21.3,0.7557862475287944,0.0,0.6482757429274668
300,289,8,6,2,False,11.78130794090195,True,7.475079772755844,180.0,3.0,0.7188713090788652,0.0,0.427211999315953
300,289,8,7,3,False,22.393975118054584,True,38.79091324473106,180.0,23.4,0.7685354142919472,0.0,0.24747848908634995
300,289,8,8,0,False,41.85521796958248,True,67.9742160614387,180.0,11.4,0.7376393685087644,0.0,0.7127530685478115
300,289,8,9,1,False,29.762261335475266,True,40.383572271021706,180.0,19.8,0.7579888228537384,0.0,0.3420131357157485
300,289,8,10,2,False,11.215203149186767,True,6.819849049184313,180.0,1.2,0.7463170722753415,0.0,0.700742497102963
300,289,8,11,3,False,32.308078633343285,True,33.37710211122393,0.0,17.7,0.7460348419218714,0.0,0.3069301401840547
300,289,8,12,0,False,37.97954780933485,True,50.6544915027448,0.0,9.0,0.7367616192328392,0.0,0.6982624518852597
300,289,8,13,1,False,31.596244606299198,True,55.64033146992081,180.0,15.0,0.7360326722156474,0.0,0.5753134310697315
300,289,8,14,2,False,9.103399620972525,True,7.0899865541422225,0.0,6.6,0.7803091420819052,0.0,0.03579160229272737
300,289,8,15,3,False,37.3917146850908,True,44.82426033518408,0.0,14.4,0.731686131278514,0.0,0.5137127954480877
300,289,8,16,0,False,34.95032433111817,True,45.925221422033275,180.0,10.2,0.74684937138439,0.0,0.6365270464295192
300,289,8,17,1,False,44.77167190399875,True,47.752123446826545,0.0,18.3,0.7535735211678629,0.0,0.44589215168065843
300,289,8,18,2,False,10.182565364943597,True,8.729102986920225,0.0,12.0,0.7694249173552818,0.0,0.1577925014472593
300,289,8,19,3,False,35.83916301681701,True,81.97383537208427,180.0,6.0,0.7391527123381354,0.0,0.8635958072154919
300,289,8,20,0,False,40.0642228056322,True,43.90951606366248,180.0,11.4,0.7229343339480907,0.0,0.5877743718853828
300,289,8,21,1,False,20.67865269289196,True,21.783897300991583,180.0,16.2,0.7552815108375093,0.0,0.14700696078469844
300,289,8,22,2,False,10.781742509291048,True,6.92987693848243,180.0,3.6,0.7304787346643167,0.0,0.3162313252001509
300,289,8,23,3,False,23.05676429300777,True,57.13439227500672,180.0,19.8,0.7507173039842745,0.0,0.4852757157228735
300,289,8,24,0,False,40.65613334543926,True,41.74135483697778,180.0,9.0,0.7615833894500119,0.0,0.6452597677398432
300,289,8,25,1,False,50.40515404098369,True,139.85725155911567,180.0,23.1,0.7431917840336056,0.0,0.7164900637556976
300,289,8,26,2,False,9.736661772095253,True,7.803760467166068,180.0,5.4,0.7312509598530147,0.0,0.1820512022408555
300,289,8,27,3,False,28.68364328846149,True,34.58385759191869,180.0,14.4,0.7506468247790414,0.0,0.41205120593049
300,289,8,28,0,False,38.818951001416195,True,45.42406259613796,180.0,21.0,0.7631442894962623,0.0,0.3676990181193954
300,289,8,29,1,False,33.85764158086663,True,19.161830250056013,180.0,27.6,0.7593755388657504,0.0,0.18044994613776552
300,289,8,30,2,False,13.561368909748253,True,7.291484322587289,180.0,0.6,0.733562093831892,0.0,0.8479373523368589
300,289,8,31,3,False,23.178307409096703,True,72.41770563885875,180.0,18.0,0.7672104654186924,0.0,0.6018478931123364
300,289,8,32,0,False,34.20877527721301,True,62.43896269836093,180.0,16.5,0.7216919219517836,0.0,0.5819554897604019
300,289,8,33,1,False,41.872181844822556,True,68.49390334627653,180.0,17.4,0.7536250320754696,0.0,0.5948490097164963
300,289,8,34,2,False,10.030688093976536,True,7.487266512149418,180.0,9.0,0.7255033207529105,0.0,0.09175162460840178
300,289,8,35,3,False,22.55585306695962,True,27.166698924491882,180.0,15.0,0.7595206797224556,0.0,0.2885380936802759
300,289,8,36,0,False,35.77466961376062,True,43.25642972990022,0.0,21.9,0.7287934904267819,0.0,0.3277716384767933
300,289,8,37,1,False,56.519465242644145,True,41.09432031738626,0.0,8.4,0.7764096655668717,0.0,0.6605671137145692
